year month birth  
   59  3  6988
   59  4  6544
   59  5  6455
   59  6  6105
   59  7  6196
   59  8  5982
   59  9  6174
   59 10  6033
   59 11  5645
   59 12  5834
   60  1  5787
   60  2  6240
   60  3  6947
   60  4  6677
   60  5  6807
   60  6  6367
   60  7  6503
   60  8  6307
   60  9  6417
   60 10  6206
   60 11  5880
   60 12  5939
   61  1  6197
   61  2  5946
   61  3  6947
   61  4  6665
   61  5  6698
   61  6  6254
   61  7  6400
   61  8  6376
   61  9  6415
   61 10  6244
   61 11  6036
   61 12  6261
   62  1  6291
   62  2  6304
   62  3  7150
   62  4  6950
   62  5  7016
   62  6  6577
   62  7  6525
   62  8  6533
   62  9  6460
   62 10  6066
   62 11  5893
   62 12  6043
   63  1  6442
   63  2  6155
   63  3  7684
   63  4  7362
   63  5  7353
   63  6  6938
   63  7  6897
   63  8  6873
   63  9  6959
   63 10  6848
   63 11  6499
   63 12  6403
   64  1  6673
   64  2  6779
   64  3  7603
   64  4  7467
   64  5  7092
   64  6  6847
   64  7  7032
   64  8  6789
   64  9  7027
   64 10  6802
   64 11  6379
   64 12  6866
   65  1  6871
   65  2  6555
   65  3  7641
   65  4  7648
   65  5  7374
   65  6  7229
   65  7  7363
   65  8  7258
   65  9  7217
   65 10  6942
   65 11  6754
   65 12  6944
   66  1  7044
   66  2  6704
   66  3  8017
   66  4  8022
   66  5  7778
   66  6  7223
   66  7  7517
   66  8  7402
   66  9  7442
   66 10  7489
   66 11  6875
   66 12  6819
   67  1  6955
   67  2  6664
   67  3  7631
   67  4  7473
   67  5  7350
   67  6  6758
   67  7  6890
   67  8  6651
   67  9  6535
   67 10  6462
   67 11  5928
   67 12  6113
   68  1  6075
   68  2  6101
   68  3  7043
   68  4  7036
   68  5  6801
   68  6  6300
   68  7  6076
   68  8  6081
   68  9  6012
   68 10  5841
   68 11  5564
   68 12  5613
   69  1  6033
   69  2  5515
   69  3  6621
   69  4  6476
   69  5  6431
   69  6  5996
   69  7  5977
   69  8  5861
   69  9  5934
   69 10  5808
   69 11  5347
   69 12  5299
   70  1  5499
   70  2  5303
   70  3  6418
   70  4  6570
   70  5  6330
   70  6  6079
   70  7  6073
   70  8  6045
   70  9  5846
   70 10  5454
   70 11  5576
   70 12  5609
   71  1  5817
   71  2  5604
   71  3  6715
   71  4  6802
   71  5  6925
   71  6  6382
   71  7  6368
   71  8  6460
   71  9  6436
   71 10  6011
   71 11  5967
   71 12  5872
   72  1  6088
   72  2  6148
   72  3  6890
   72  4  6967
   72  5  6963
   72  6  6631
   72  7  6405
   72  8  6398
   72  9  6135
   72 10  5764
   72 11  5492
   72 12  5624
   73  1  5936
   73  2  5717
   73  3  6729
   73  4  6375
   73  5  6501
   73  6  6195
   73  7  6157
   73  8  5938
   73  9  5903
   73 10  5524
   73 11  5449
   73 12  5471
   74  1  5932
   74  2  5436
   74  3  6648
   74  4  6376
   74  5  6393
   74  6  5751
   74  7  6082
   74  8  5947
   74  9  6261
   74 10  5761
   74 11  5442
   74 12  5298
   75  1  5902
   75  2  5870
   75  3  6477
   75  4  6664
   75  5  6365
   75  6  6115
   75  7  6385
   75  8  6063
   75  9  6001
   75 10  5633
   75 11  5222
